LAT,LON,dist_to_pr_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
9.7,-25.1,4565.666442605714,30,1009,27.54166603088379,-0.3005962371826172,27.846364974975582,,,,,,25.46,0.394,1998,9,15,258,1,4565.666442605714,0.0,4565.666442605714,0.0,4565.666442605714,0.0,1998-09-15 12:00:00,0,puerto_rico
9.7,-25.8,4492.185357111432, , ,27.58199882507324,-0.2902774810791015,27.88390731811523,,,,,,25.46,0.394,1998,9,15,258,1,4492.185357111432,0.0,4492.185357111432,0.0,4492.185357111432,0.0,1998-09-15 15:00:00,0,puerto_rico
9.8,-26.5,4415.528574327062,30,1009,27.45433235168457,-0.4355926513671875,27.937559127807617,,,,,,25.46,0.394,1998,9,15,258,1,4415.528574327062,0.0,4415.528574327062,0.0,4415.528574327062,0.0,1998-09-15 18:00:00,0,puerto_rico
9.9,-27.3,4328.408246977088, , ,27.4429988861084,-0.4569854736328125,27.937559127807617,,,,,,25.46,0.394,1998,9,15,258,1,4328.408246977088,0.0,4328.408246977088,0.0,4328.408246977088,0.0,1998-09-15 21:00:00,0,puerto_rico
10.0,-28.1,4241.320143048055,30,1009,28.12903213500977,0.234903335571289,27.92360496520996,,,,,,25.46,0.394,1998,9,16,259,1,4241.320143048055,0.0,4241.320143048055,0.0,4241.320143048055,0.0,1998-09-16 00:00:00,0,puerto_rico
10.1,-28.9,4154.265474100342, , ,27.941612243652344,0.0517311096191406,27.85640525817871,,,,,,25.46,0.394,1998,9,16,259,1,4154.265474100342,0.0,4154.265474100342,0.0,4154.265474100342,0.0,1998-09-16 03:00:00,0,puerto_rico
10.3,-29.7,4064.025481541127,30,1009,27.83612823486328,-0.0638484954833984,27.90896797180176,,,,,,25.46,0.394,1998,9,16,259,1,4064.025481541127,0.0,4064.025481541127,0.0,4064.025481541127,0.0,1998-09-16 06:00:00,0,puerto_rico
10.4,-30.5,3977.034526442776, , ,27.880643844604492,-0.0636482238769531,27.950000762939453,,,,,,25.46,0.394,1998,9,16,259,1,3977.034526442776,0.0,3977.034526442776,0.0,3977.034526442776,0.0,1998-09-16 09:00:00,0,puerto_rico
10.6,-31.3,3886.8705899471192,35,1005,28.07806396484375,0.12164306640625,27.950000762939453,,,,,,25.46,0.394,1998,9,16,259,1,3886.8705899471192,0.0,3886.8705899471192,0.0,3886.8705899471192,0.0,1998-09-16 12:00:00,0,puerto_rico
10.8,-32.1,3796.754812036827, , ,28.07741928100586,0.1148262023925781,27.99064826965332,,,,,,25.46,0.394,1998,9,16,259,1,3796.754812036827,0.0,3796.754812036827,0.0,3796.754812036827,0.0,1998-09-16 15:00:00,0,puerto_rico
11.0,-32.9,3706.688311999162,35,1003,28.08774185180664,0.1262435913085937,27.984678268432617,,,,,,25.46,0.394,1998,9,16,259,1,3706.688311999162,0.0,3706.688311999162,0.0,3706.688311999162,0.0,1998-09-16 18:00:00,0,puerto_rico
11.1,-33.7,3619.8255881298983, , ,27.72935485839844,-0.2232093811035156,27.927961349487305,,,,,,25.46,0.394,1998,9,16,259,1,3619.8255881298983,0.0,3619.8255881298983,0.0,3619.8255881298983,0.0,1998-09-16 21:00:00,0,puerto_rico
11.3,-34.6,3519.383655109723,45,1000,27.734838485717773,-0.214120864868164,27.942502975463867,,,,,,25.46,0.394,1998,9,17,260,1,3519.383655109723,0.0,3519.383655109723,0.0,3519.383655109723,0.0,1998-09-17 00:00:00,0,puerto_rico
11.5,-35.4,3429.452495151963, , ,27.843225479125977,-0.1312828063964843,27.942502975463867,,,,,,25.46,0.394,1998,9,17,260,1,3429.452495151963,0.0,3429.452495151963,0.0,3429.452495151963,0.0,1998-09-17 03:00:00,0,puerto_rico
11.7,-36.3,3329.121594582384,50,997,27.794837951660156,-0.1855297088623047,27.991737365722656,,,,,,25.46,0.394,1998,9,17,260,1,3329.121594582384,0.0,3329.121594582384,0.0,3329.121594582384,0.0,1998-09-17 06:00:00,0,puerto_rico
11.9,-37.2,3228.8494082454063, , ,27.74774169921875,-0.2090873718261718,28.007360458374023,,,,,,25.46,0.394,1998,9,17,260,1,3228.8494082454063,0.0,3228.8494082454063,0.0,3228.8494082454063,0.0,1998-09-17 09:00:00,0,puerto_rico
12.0,-38.1,3131.736590724716,55,994,27.510000228881836,-0.5062961578369141,28.07632064819336,,,,,,25.46,0.394,1998,9,17,260,1,3131.736590724716,0.0,3131.736590724716,0.0,3131.736590724716,0.0,1998-09-17 12:00:00,0,puerto_rico
12.2,-39.0,3031.5687673729008, , ,27.460643768310547,-0.5756683349609375,27.96290397644043,,,,,,25.46,0.394,1998,9,17,260,1,3031.5687673729008,0.0,3031.5687673729008,0.0,3031.5687673729008,0.0,1998-09-17 15:00:00,0,puerto_rico
12.3,-40.0,2924.1377047098345,65,987,27.39870834350586,-0.634124755859375,28.00261116027832,,,,,,25.46,0.394,1998,9,17,260,1,2924.1377047098345,0.0,2924.1377047098345,0.0,2924.1377047098345,0.0,1998-09-17 18:00:00,0,puerto_rico
