LAT,LON,dist_to_miami_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
12.3,-42.0,4264.981850142632,35,1006,27.328332901000977,-0.2801418304443359,27.57085227966309,,,,,,26.91,-0.396,1992,8,17,230,1,4264.981850142632,0.0,4264.981850142632,0.0,73.80874452564571,5.0,1992-08-17 12:00:00,0,miami
12.7,-43.1,4138.186065367336, , ,27.222000122070312,-0.3616409301757812,27.619699478149418,,,,,,26.91,-0.396,1992,8,17,230,1,4138.186065367336,0.0,4138.186065367336,0.0,73.80874452564571,5.0,1992-08-17 15:00:00,0,miami
13.1,-44.2,4011.538453067441,35,1003,27.03299903869629,-0.4412879943847656,27.351491928100582,,,,,,26.91,-0.396,1992,8,17,230,1,4011.538453067441,0.0,4011.538453067441,0.0,73.80874452564571,5.0,1992-08-17 18:00:00,0,miami
13.4,-45.2,3899.6334457888106, , ,27.242666244506836,-0.2165946960449218,27.418270111083984,,,,,,26.91,-0.396,1992,8,17,230,1,3899.6334457888106,0.0,3899.6334457888106,0.0,73.80874452564571,5.0,1992-08-17 21:00:00,0,miami
13.6,-46.2,3792.730544288032,40,1002,27.371999740600582,-0.0918159484863281,27.47793197631836,,,,,,26.91,-0.396,1992,8,18,231,1,3792.730544288032,0.0,3792.730544288032,0.0,73.80874452564571,5.0,1992-08-18 00:00:00,0,miami
13.8,-47.1,3695.659164824327, , ,27.343332290649418,-0.1399955749511718,27.543792724609375,,,,,,26.91,-0.396,1992,8,18,231,1,3695.659164824327,0.0,3695.659164824327,0.0,73.80874452564571,5.0,1992-08-18 03:00:00,0,miami
14.1,-48.0,3593.785169868444,45,1001,27.53499984741211,0.0264873504638671,27.427133560180664,,,,,,26.91,-0.396,1992,8,18,231,1,3593.785169868444,0.0,3593.785169868444,0.0,73.80874452564571,5.0,1992-08-18 06:00:00,0,miami
14.3,-48.9,3496.9295758961116, , ,27.517332077026367,-0.0214881896972656,27.532861709594727,,,,,,26.91,-0.396,1992,8,18,231,1,3496.9295758961116,0.0,3496.9295758961116,0.0,73.80874452564571,5.0,1992-08-18 09:00:00,0,miami
14.6,-49.9,3385.6172292510005,45,1000,27.59466552734375,-0.0138149261474609,27.628965377807617,,,,,,26.91,-0.396,1992,8,18,231,1,3385.6172292510005,0.0,3385.6172292510005,0.0,73.80874452564571,5.0,1992-08-18 12:00:00,0,miami
15.0,-50.9,3269.5247590234467, , ,27.79599952697754,0.1083316802978515,27.72897720336914,,,,,,26.91,-0.396,1992,8,18,231,1,3269.5247590234467,0.0,3269.5247590234467,0.0,73.80874452564571,5.0,1992-08-18 15:00:00,0,miami
15.4,-51.8,3163.229709223752,45,1000,27.978666305541992,0.2046394348144531,27.782001495361328,,,,,,26.91,-0.396,1992,8,18,231,1,3163.229709223752,0.0,3163.229709223752,0.0,73.80874452564571,5.0,1992-08-18 18:00:00,0,miami
15.8,-52.7,3057.093494412945, , ,28.12533187866211,0.2806167602539062,27.918169021606445,,,,,,26.91,-0.396,1992,8,18,231,1,3057.093494412945,0.0,3057.093494412945,0.0,73.80874452564571,5.0,1992-08-18 21:00:00,0,miami
16.3,-53.5,2955.9883662481957,45,1001,28.165332794189453,0.2152328491210937,27.996055603027344,,,,,,26.91,-0.396,1992,8,19,232,1,2955.9883662481957,0.0,2955.9883662481957,0.0,73.80874452564571,5.0,1992-08-19 00:00:00,0,miami
16.8,-54.4,2845.534344173361, , ,28.270666122436523,0.2539081573486328,27.996055603027344,,,,,,26.91,-0.396,1992,8,19,232,1,2845.534344173361,0.0,2845.534344173361,0.0,73.80874452564571,5.0,1992-08-19 03:00:00,0,miami
17.2,-55.3,2740.00187588584,45,1002,28.174665451049805,0.0656986236572265,28.064563751220703,,,,,,26.91,-0.396,1992,8,19,232,1,2740.00187588584,0.0,2740.00187588584,0.0,73.80874452564571,5.0,1992-08-19 06:00:00,0,miami
17.6,-56.1,2644.321060718687, , ,28.17599868774414,0.0313472747802734,28.142108917236328,,,,,,26.91,-0.396,1992,8,19,232,1,2644.321060718687,0.0,2644.321060718687,0.0,73.80874452564571,5.0,1992-08-19 09:00:00,0,miami
18.0,-56.9,2548.847248529156,45,1005,28.031665802001953,-0.1559944152832031,28.20415496826172,,,,,,26.91,-0.396,1992,8,19,232,1,2548.847248529156,0.0,2548.847248529156,0.0,73.80874452564571,5.0,1992-08-19 12:00:00,0,miami
18.4,-57.6,2463.2705511406, , ,28.062999725341797,-0.1622791290283203,28.245622634887695,,,,,,26.91,-0.396,1992,8,19,232,1,2463.2705511406,0.0,2463.2705511406,0.0,73.80874452564571,5.0,1992-08-19 15:00:00,0,miami
18.8,-58.3,2377.9459648092375,45,1007,28.102333068847656,-0.1487350463867187,28.245622634887695,,,,,,26.91,-0.396,1992,8,19,232,1,2377.9459648092375,0.0,2377.9459648092375,0.0,73.80874452564571,5.0,1992-08-19 18:00:00,0,miami
19.3,-58.9,2298.3934602043832, , ,28.030332565307617,-0.2255592346191406,28.256662368774418,,,,,,26.91,-0.396,1992,8,19,232,1,2298.3934602043832,0.0,2298.3934602043832,0.0,73.80874452564571,5.0,1992-08-19 21:00:00,0,miami
19.8,-59.3,2238.951463232111,40,1011,28.031665802001953,-0.2362518310546875,28.256662368774418,,,,,,26.91,-0.396,1992,8,20,233,1,2238.951463232111,0.0,2238.951463232111,0.0,73.80874452564571,5.0,1992-08-20 00:00:00,0,miami
20.2,-59.7,2184.132454774943, , ,27.999332427978516,-0.2741546630859375,28.27894401550293,,,,,,26.91,-0.396,1992,8,20,233,1,2184.132454774943,0.0,2184.132454774943,0.0,73.80874452564571,5.0,1992-08-20 03:00:00,0,miami
20.7,-60.0,2135.954575330598,40,1013,28.095666885375977,-0.1922893524169922,28.27894401550293,,,,,,26.91,-0.396,1992,8,20,233,1,2135.954575330598,0.0,2135.954575330598,0.0,73.80874452564571,5.0,1992-08-20 06:00:00,0,miami
